Chemical formula	Synonyms	CAS number
UO2(NO3)2	uranyl nitrate	10102-06-4
UO3	uranium(VI) oxide	1344-58-7
US	uranium(II) sulfide	12039-11-1
USe3	uranium(VI) selenide	12138-23-7
UTe2	uranium(IV) telluride	12138-37-3
UTe3	uranium(VI) telluride	12040-18-5
U2O5	uranium(V) oxide	12065-66-6
U2S3	uranium(III) sulfide	12138-13-5
U3N2	uranium(II) nitride	12033-85-1
U3O8	uranium(V,VI) oxide	1344-59-8
U4O9	uranium(IV,V) oxide	12037-15-9
VBr2	vanadium(II) bromide	14890-41-6
VBr3	vanadium(III) bromide	13470-26-3
VBr4	vanadium(IV) bromide	13595-30-7
VC	vanadium(IV) carbide	12070-10-9
VCl2	vanadium(II) chloride	10580-52-6
VCl3	vanadium(III) chloride	7718-98-1
VCl4	vanadium(IV) chloride	7632-51-1
VF2	vanadium(II) fluoride	13842-80-3
VF3	vanadium(III) fluoride	10049-12-4
VF4	vanadium(IV) fluoride	10049-16-8
VF5	vanadium(V) fluoride	7783-72-4
VH	vanadium(I) hydride	13966-93-3
VI2	vanadium(II) iodide	15513-84-5
VI3	vanadium(III) iodide	15513-94-7
VI4	vanadium(IV) iodide	15831-18-2
VN	vanadium(III) nitride	24646-85-3
VO	vanadium(II) oxide	12035-98-2
VOCl3	vanadium(V) oxytrichloride	7727-18-6
VOF3	vanadium(V) oxytrifluoride	13709-31-4
VO2	vanadium(IV) oxide	12036-21-4
VOSO4	vanadyl sulfate	27774-13-6
VS2	vanadium(IV) sulfide	12166-28-8
VSe2	vanadium(IV) selenide	12299-51-3
VSi2	vanadium(IV) silicide	12039-87-1
VTe2	vanadium(IV) telluride	35515-91-4
V2O3	vanadium(III) oxide	1314-34-7
V2O5	vanadium(V) oxide	1314-62-1
V2(SO4)3	vanadium(III) sulfate	13701-70-7
V2S3	vanadium(III) sulfide	1315-03-3
V3Si	vanadium(II) silicide	12039-76-8
WBr2	tungsten(II) bromide	13470-10-5
WBr3	tungsten(III) bromide	15163-24-3
WBr4	tungsten(IV) bromide	14055-81-3
WBr5	tungsten(V) bromide	13470-11-6
WBr6	tungsten(VI) bromide	13701-86-5
WC	tungsten(IV) carbide	12070-12-1
WCl2	tungsten(II) chloride	13470-12-7
WCl3	tungsten(III) chloride	20193-56-0
WCl4	tungsten(IV) chloride	13470-13-8
WCl5	tungsten(V) chloride	13470-14-9
WCl6	tungsten(VI) chloride	13283-01-7
WF4	tungsten(IV) fluoride	13766-47-7
WF5	tungsten(V) fluoride	19357-83-6
WF6	tungsten(VI) fluoride	7783-82-6
WI2	tungsten(II) iodide	13470-17-2
WI3	tungsten(III) iodide	15513-69-6
WI4	tungsten(IV) iodide	14055-84-6
WOBr3	tungsten(V) oxytribromide	20213-56-3
WOBr4	tungsten(VI) oxytetrabromide	13520-77-9
WOCl3	tungsten(V) oxytrichloride	14249-98-0
WOCl4	tungsten(VI) oxytetrachloride	13520-78-0
WOF4	tungsten(VI) oxytetrafluoride	13520-79-1
WO2	tungsten(IV) oxide	12036-22-5
WO2Br2	tungsten(VI) dioxydibromide	13520-75-7
WO2Cl2	tungsten(VI) dioxydichloride	13520-76-8
WO2I2	tungsten(VI) dioxydiiodide	14447-89-3
WO3	tungsten(VI) oxide	1314-35-8
WS2	tungsten(IV) sulfide	12138-09-9
WS3	tungsten(VI) sulfide	12125-19-8
WSe2	tungsten(IV) selenide	12067-46-8
WSi2	tungsten(IV) silicide	12039-88-2
WTe2	tungsten(IV) telluride	12067-76-4
XeF	xenon monofluoride	16757-14-5
XeF2	xenon difluoride	13709-36-9
XeF4	xenon tetrafluoride	13709-61-0
XeF6	xenon hexafluoride	13693-09-9
XeOF4	xenon oxytetrafluoride	13774-85-1
XeO2F2	xenon dioxydifluoride	13875-06-4
XeO3	xenon trioxide	13776-58-4
XeO4	xenon tetroxide	12340-14-6
YAs	yttrium(III) arsenide	12255-48-0
YB6	yttrium(III) boride	12008-32-1
YBr3	yttrium(III) bromide	13469-98-2
Y(CHO2)3	yttrium(III) formate	15331-71-2
YC2	yttrium(II) carbide	12071-35-1
Y(CF3SO3)3	yttrium(III) trifluoromethanesulfonate	52093-30-8
YCl3	yttrium(III) chloride	10361-92-9
YF3	yttrium(III) fluoride	13709-49-4
YH2	yttrium(II) hydride	13598-35-1
YH3	yttrium(III) hydride	13598-57-7
YI3	yttrium(III) iodide	13470-38-7
YN	yttrium(III) nitride	25764-13-0
YP	yttrium(III) phosphide	12294-01-8
YSb	yttrium(III) antimonide	12186-97-9
YVO4	yttrium(III) vanadate	13566-12-6
Y2O3	yttrium(III) oxide	1314-36-9
Y2S3	yttrium(III) sulfide	12039-19-9
YbBr2	ytterbium(II) bromide	25502-05-0
YbBr3	ytterbium(III) bromide	13759-89-2
YbCl2	ytterbium(II) chloride	13874-77-6
YbCl3	ytterbium(III) chloride	10361-91-8
YbCl3•6H2O	ytterbium(III) chloride hexahydrate	19423-87-1
YbF2	ytterbium(II) fluoride	15192-18-4
YbF3	ytterbium(III) fluoride	13760-80-0
YbI2	ytterbium(II) iodide	19357-86-9
YbI3	ytterbium(III) iodide	13813-44-0
YbSe	ytterbium(II) selenide	12039-54-2
YbSi5	ytterbium(V) silicide	12039-89-3
YbTe	ytterbium(II) telluride	12125-58-5
Yb2O3	ytterbium(III) oxide	1314-37-0
Yb2S3	ytterbium(III) sulfide	12039-20-2
Yb2Se3	ytterbium(III) selenide	12166-52-8
Zn(AsO2)2	zinc arsenite	10326-24-6
Zn(AsO3)2	zinc arsenate	12006-40-5
ZnBr2	zinc bromide	7699-45-8
Zn(CN)2	zinc cyanide	557-21-1
ZnCO3	zinc carbonate	3486-35-9
Zn(C2H3O2)2	zinc acetate	557-34-6
ZnC2O4	zinc oxalate	547-68-2
ZnC3H7O6P	zinc glycerophosphate	1300-26-1
ZnC4H2O4	zinc fumarate	52723-61-2
ZnC4H4O4	zinc succinate	6228-53-1
ZnC6H10O4	zinc propionate	557-28-8
ZnC6H10O6	zinc lactate	16039-53-5
ZnC6H12N2S4	zinc dimethyldithiocarbonate	137-30-4
Zn(C8H15O2)2	zinc caprylate	557-09-5
ZnC10H20N2S4	zinc dimethyldithiocarbamate	14324-55-1
Zn(C18H35O2)2	zinc stearate	557-05-1
Zn(ClO3)2	zinc chlorate	10361-95-2
Zn(ClO4)2	zinc perchlorate	10025-64-6
ZnCl2	zinc chloride	7646-85-7
ZnCrO4	zinc chromate	13530-65-9
ZnCr2O4	zinc chromite	12018-19-8
ZnCr2O7	zinc dichromate	14018-95-2
ZnF2	zinc fluoride	7783-49-5
ZnH2	zinc hydride	14018-82-7
Zn(IO3)2	zinc iodate	7790-37-6
ZnI2	zinc iodide	10139-47-6
Zn(MnO4)2	zinc permanganate	23414-72-4
ZnMoO4	zinc molybdate	13767-32-3
Zn(NO2)2	zinc nitrite	10102-02-0
Zn(NO3)2	zinc nitrate	7779-88-6
ZnO	zinc oxide	1314-13-2
Zn(OH)2	zinc hydroxide	20427-58-1
ZnO2	zinc peroxide	1314-22-3
ZnS	zinc sulfide	1314-98-3
Zn(SCN)2	zinc thiocyanate	557-42-6
ZnSO4	zinc sulfate	7733-02-0
ZnSb	zinc antimonide	12039-35-9
ZnSe	zinc selenide	1315-09-9
ZnSnO3	zinc stannate	12036-37-2
ZnTe	zinc telluride	1315-11-3
ZnTiO3	zinc titanate	12036-43-0
ZnWO4	zinc tungstate	13597-56-3
Zn2Fe(CN)6	zinc ferrocyanide	14883-46-6
Zn2P2O7	zinc pyrophosphate	7446-26-6
Zn2SiO4	zinc orthosilicate	13597-65-4
Zn3(AsO4)2	zinc arsenate	13464-44-3
Zn3(BO3)2	zinc borate	12880-01-2
Zn3N2	zinc nitride	1313-49-1
Zn3P2	zinc phosphide	1314-84-7
Zn3(PO4)2	zinc phosphate	7779-90-0
ZrBr3	zirconium(III) bromide	24621-18-9
ZrBr4	zirconium(IV) bromide	13777-25-8
ZrC	zirconium(IV) carbide	12070-14-3
ZrCl2	zirconium(II) chloride	13762-26-0
ZrCl4	zirconium(IV) chloride	10026-11-6
ZrF4	zirconium(IV) fluoride	7783-64-4
ZrH2	zirconium(II) hydride	7704-99-6
ZrI2	zirconium(II) iodide	15513-85-6
ZrI3	zirconium(III) iodide	13779-87-8
ZrI4	zirconium(IV) iodide	13986-26-0
ZrN	zirconium(III) nitride	25658-42-8
Zr(OH)4	zirconium(IV) hydroxide	14475-63-9
ZrO	zirconium(II) oxide	12036-01-0
ZrO2	zirconium(IV) oxide	1314-23-4
Zr(HPO4)	zirconium(IV) phosphate	13765-95-2
ZrP2	zirconium(IV) phosphide	12037-80-8
Zr(SO4)2	zirconium(IV) sulfate	14644-61-2
ZrS2	zirconium(IV) sulfide	12039-15-5
ZrSe2	zirconium(IV) selenide	12166-47-1
ZrSi2	zirconium(IV) silicide	12039-90-6
ZrSiO4	zirconium(IV) silicate	10101-52-7
ZrTe2	zirconium(IV) telluride	32321-65-6
Zr(WO4)2	zirconium(IV) tungstate	16853-74-0
